iter	Passed	Remaining
151	1788	9980
152	1800	9967
153	1812	9954
154	1823	9942
155	1835	9931
156	1847	9919
157	1859	9907
158	1870	9894
159	1882	9882
160	1894	9870
161	1905	9858
162	1917	9847
163	1929	9836
164	1941	9825
165	1954	9818
166	1966	9807
167	1977	9795
168	1989	9783
169	2002	9774
170	2013	9763
171	2025	9751
172	2037	9741
173	2050	9732
174	2061	9720
175	2073	9709
176	2086	9699
177	2098	9688
178	2109	9676
179	2121	9666
180	2134	9656
181	2146	9646
182	2158	9636
183	2170	9625
184	2184	9622
185	2196	9610
186	2208	9599
187	2219	9587
188	2231	9576
189	2243	9562
190	2255	9551
191	2266	9540
192	2278	9526
193	2289	9513
194	2302	9505
195	2314	9494
196	2326	9481
197	2337	9468
198	2349	9456
199	2360	9443
200	2372	9432
201	2384	9420
202	2396	9410
203	2408	9398
204	2420	9386
205	2432	9373
206	2443	9361
207	2455	9348
208	2466	9335
209	2478	9323
210	2489	9310
211	2501	9298
212	2513	9287
213	2525	9275
214	2536	9262
215	2548	9250
216	2559	9237
217	2571	9224
218	2583	9211
219	2594	9199
220	2607	9189
221	2618	9177
222	2630	9166
223	2642	9153
224	2653	9140
225	2665	9127
226	2676	9115
227	2689	9104
228	2700	9092
229	2712	9082
230	2724	9069
231	2736	9058
232	2748	9046
233	2760	9036
234	2772	9024
235	2830	9162
236	2849	9175
237	2863	9166
238	2875	9156
239	2888	9147
240	2901	9137
241	2913	9127
242	2926	9115
243	2937	9102
244	2949	9089
245	2961	9078
246	2973	9064
247	2985	9053
248	2997	9040
249	3009	9028
250	3021	9015
251	3032	9002
252	3044	8989
253	3056	8975
254	3067	8963
255	3079	8950
256	3091	8937
257	3103	8924
258	3114	8911
259	3126	8898
260	3138	8885
261	3149	8871
262	3161	8858
263	3172	8844
264	3184	8832
265	3195	8818
266	3207	8806
267	3219	8793
268	3231	8780
269	3242	8767
270	3254	8755
271	3266	8741
272	3277	8728
273	3289	8716
274	3301	8703
275	3313	8692
276	3325	8679
277	3337	8666
278	3359	8681
279	3375	8679
280	3389	8672
281	3402	8662
282	3414	8649
283	3426	8639
284	3438	8627
285	3450	8613
286	3462	8601
287	3474	8588
288	3485	8576
289	3497	8563
290	3509	8550
291	3521	8537
292	3533	8525
293	3544	8512
294	3556	8499
295	3568	8486
296	3580	8475
297	3593	8465
298	3605	8452
299	3617	8440
300	3629	8428
301	3641	8416
302	3653	8404
303	3665	8392
304	3678	8381
305	3689	8368
306	3701	8356
307	3713	8344
308	3726	8332
309	3737	8319
310	3750	8307
311	3762	8296
312	3774	8285
313	3786	8272
314	3798	8260
315	3810	8248
316	3822	8235
317	3834	8223
318	3846	8210
319	3858	8198
320	3869	8185
321	3881	8173
322	3894	8161
323	3905	8149
324	3917	8136
325	3930	8126
326	3943	8115
327	3955	8103
328	3967	8091
329	3979	8079
330	3991	8067
331	4003	8054
332	4015	8042
333	4027	8030
334	4039	8018
335	4051	8006
336	4063	7994
337	4075	7982
338	4087	7969
339	4098	7956
340	4111	7944
341	4123	7933
342	4135	7920
343	4147	7908
344	4159	7896
345	4171	7884
346	4183	7872
347	4195	7860
348	4208	7850
349	4223	7844
350	4235	7832
351	4247	7820
352	4260	7808
353	4273	7797
354	4284	7784
355	4296	7772
356	4309	7761
357	4321	7749
358	4333	7737
359	4345	7725
360	4358	7715
361	4370	7703
362	4382	7690
363	4394	7678
364	4406	7666
365	4418	7653
366	4430	7641
367	4442	7629
368	4457	7622
369	4472	7615
370	4485	7605
371	4498	7593
372	4510	7582
373	4523	7571
374	4535	7558
375	4546	7545
376	4558	7533
377	4570	7520
378	4581	7507
379	4593	7494
380	4605	7482
381	4617	7470
382	4629	7457
383	4641	7445
384	4652	7432
385	4664	7420
386	4676	7407
387	4688	7395
388	4700	7382
389	4712	7370
390	4724	7357
391	4736	7345
392	4747	7333
393	4759	7320
394	4771	7307
395	4783	7295
396	4795	7283
397	4806	7270
398	4819	7258
399	4831	7246
400	4842	7234
401	4855	7222
402	4866	7209
403	4879	7198
404	4891	7185
405	4903	7173
406	4915	7161
407	4931	7155
408	4944	7144
409	4955	7131
410	4968	7119
411	4979	7106
412	4991	7094
413	5003	7082
414	5015	7069
415	5026	7056
416	5038	7044
417	5050	7032
418	5062	7019
419	5074	7007
420	5085	6994
421	5099	6984
422	5111	6972
423	5122	6959
424	5134	6947
425	5146	6934
426	5159	6923
427	5171	6910
428	5182	6898
429	5194	6886
430	5206	6873
431	5218	6861
432	5230	6849
433	5242	6836
434	5254	6824
435	5266	6812
436	5277	6799
437	5290	6787
438	5301	6775
439	5313	6763
440	5326	6751
441	5340	6742
442	5352	6730
443	5365	6718
444	5377	6707
445	5389	6694
446	5402	6683
447	5413	6670
448	5426	6658
449	5437	6646
450	5450	6634
451	5463	6623
452	5475	6612
453	5487	6599
454	5499	6587
455	5511	6575
456	5523	6562
457	5535	6550
458	5547	6538
459	5559	6526
460	5571	6513
461	5583	6501
462	5595	6489
463	5607	6477
464	5618	6464
465	5630	6452
466	5642	6440
467	5654	6428
468	5666	6415
469	5678	6403
470	5690	6390
471	5702	6378
472	5714	6366
473	5725	6354
474	5737	6341
475	5749	6329
476	5761	6316
477	5772	6304
478	5784	6291
479	5796	6279
480	5807	6266
481	5819	6254
482	5831	6242
483	5843	6229
484	5855	6217
485	5867	6205
486	5879	6192
487	5890	6180
488	5902	6168
489	5917	6158
490	5929	6146
491	5940	6134
492	5952	6121
493	5964	6109
494	5975	6096
495	5987	6083
496	5999	6071
497	6010	6059
498	6022	6047
499	6034	6034
500	6046	6022
501	6058	6009
502	6069	5997
503	6081	5985
504	6093	5972
505	6104	5960
506	6116	5947
507	6128	5935
508	6139	5922
509	6151	5910
510	6163	5898
511	6175	5885
512	6186	5873
513	6198	5860
514	6210	5848
515	6223	5837
516	6234	5824
517	6246	5812
518	6258	5800
519	6269	5787
520	6281	5775
521	6293	5762
522	6304	5750
523	6316	5738
524	6328	5725
525	6340	5713
526	6352	5701
527	6363	5688
528	6375	5676
529	6386	5663
530	6398	5651
531	6409	5638
532	6421	5626
533	6433	5614
534	6445	5602
535	6457	5590
536	6469	5577
537	6481	5565
538	6493	5553
539	6505	5541
540	6517	5529
541	6529	5517
542	6541	5505
543	6553	5493
544	6565	5481
545	6577	5469
546	6589	5457
547	6602	5445
548	6614	5433
549	6626	5421
550	6637	5408
551	6649	5396
552	6661	5384
553	6673	5372
554	6685	5360
555	6696	5347
556	6708	5335
557	6720	5323
558	6732	5311
559	6744	5299
560	6756	5286
561	6767	5274
562	6779	5262
563	6792	5250
564	6803	5238
565	6816	5226
566	6828	5214
567	6840	5202
568	6852	5190
569	6864	5178
570	6876	5166
571	6888	5154
572	6900	5142
573	6916	5133
574	6928	5120
575	6940	5108
576	6952	5096
577	6964	5084
578	6976	5072
579	6988	5060
580	7000	5048
581	7012	5036
582	7025	5024
583	7036	5012
584	7048	5000
585	7060	4988
586	7072	4976
587	7084	4963
588	7096	4951
589	7108	4939
590	7120	4927
591	7132	4915
592	7143	4903
593	7156	4891
594	7168	4879
595	7179	4866
596	7191	4854
597	7204	4843
598	7216	4831
599	7228	4818
600	7240	4806
601	7252	4795
602	7264	4782
603	7276	4770
604	7289	4758
605	7301	4746
606	7313	4735
607	7325	4723
608	7338	4711
609	7350	4699
610	7361	4686
611	7373	4674
612	7385	4662
613	7396	4650
614	7408	4637
615	7420	4625
616	7432	4613
617	7444	4601
618	7456	4589
619	7468	4577
620	7480	4565
621	7492	4553
622	7504	4541
623	7516	4528
624	7528	4516
625	7540	4504
626	7552	4492
627	7564	4480
628	7576	4468
629	7588	4456
630	7599	4444
631	7611	4432
632	7623	4419
633	7635	4407
634	7647	4395
635	7659	4383
636	7671	4371
637	7683	4359
638	7695	4347
639	7707	4335
640	7719	4323
641	7731	4311
642	7743	4299
643	7755	4287
644	7767	4275
645	7778	4262
646	7790	4250
647	7802	4238
648	7814	4226
649	7826	4214
650	7838	4202
651	7850	4190
652	7862	4177
653	7874	4165
654	7886	4154
655	7898	4141
656	7914	4131
657	7926	4120
658	7939	4108
659	7951	4095
660	7962	4083
661	7974	4071
662	7987	4059
663	7998	4047
664	8010	4035
665	8022	4023
666	8035	4011
667	8046	3999
668	8058	3987
669	8070	3975
670	8082	3963
671	8094	3950
672	8106	3938
673	8118	3926
674	8131	3915
675	8143	3902
676	8154	3890
677	8166	3878
678	8177	3865
679	8189	3853
680	8200	3841
681	8212	3829
682	8224	3817
683	8236	3805
684	8248	3792
685	8259	3780
686	8271	3768
687	8283	3756
688	8295	3744
689	8306	3732
690	8318	3719
691	8377	3728
692	8394	3718
693	8420	3712
694	8432	3700
695	8444	3688
696	8456	3676
697	8467	3663
698	8479	3651
699	8491	3639
700	8503	3626
701	8514	3614
702	8526	3602
703	8538	3589
704	8549	3577
705	8561	3565
706	8573	3553
707	8584	3540
708	8596	3528
709	8608	3516
710	8619	3503
711	8631	3491
712	8644	3479
713	8656	3467
714	8667	3454
715	8679	3442
716	8691	3430
717	8702	3418
718	8714	3405
719	8726	3393
720	8737	3381
721	8749	3368
722	8761	3356
723	8772	3344
724	8784	3332
725	8796	3319
726	8808	3307
727	8819	3295
728	8831	3282
729	8843	3270
730	8854	3258
731	8866	3246
732	8878	3233
733	8890	3221
734	8901	3209
735	8914	3197
736	8926	3185
737	8938	3173
738	8949	3160
739	8961	3148
740	8973	3136
741	8985	3124
742	8996	3111
743	9008	3099
744	9020	3087
745	9032	3075
746	9044	3063
747	9065	3054
748	9079	3042
749	9091	3030
750	9103	3018
751	9115	3006
752	9126	2993
753	9138	2981
754	9150	2969
755	9162	2957
756	9173	2944
757	9185	2932
758	9197	2920
759	9209	2908
760	9220	2895
761	9232	2883
762	9244	2871
763	9255	2859
764	9267	2846
765	9279	2834
766	9291	2822
767	9303	2810
768	9315	2798
769	9327	2786
770	9339	2773
771	9350	2761
772	9362	2749
773	9373	2737
774	9385	2724
775	9397	2712
776	9408	2700
777	9420	2688
778	9432	2675
779	9443	2663
780	9455	2651
781	9467	2639
782	9478	2626
783	9490	2614
784	9502	2602
785	9513	2590
786	9525	2578
787	9537	2565
788	9548	2553
789	9560	2541
790	9572	2529
791	9584	2517
792	9595	2504
793	9607	2492
794	9618	2480
795	9630	2468
796	9642	2455
797	9653	2443
798	9665	2431
799	9677	2419
800	9689	2407
801	9700	2394
802	9712	2382
803	9724	2370
804	9736	2358
805	9747	2346
806	9759	2334
807	9771	2321
808	9782	2309
809	9794	2297
810	9806	2285
811	9818	2273
812	9829	2260
813	9841	2248
814	9853	2236
815	9865	2224
816	9876	2212
817	9888	2200
818	9908	2189
819	9920	2177
820	9931	2165
821	9943	2153
822	9955	2141
823	9966	2128
824	9978	2116
825	9990	2104
826	10002	2092
827	10013	2080
828	10025	2067
829	10037	2055
830	10048	2043
831	10060	2031
832	10072	2019
833	10084	2007
834	10096	1995
835	10107	1982
836	10119	1970
837	10131	1958
838	10143	1946
839	10154	1934
840	10166	1922
841	10178	1909
842	10189	1897
843	10201	1885
844	10213	1873
845	10224	1861
846	10236	1849
847	10248	1836
848	10260	1824
849	10271	1812
850	10283	1800
851	10295	1788
852	10307	1776
853	10318	1764
854	10329	1751
855	10342	1739
856	10354	1727
857	10366	1715
858	10377	1703
859	10389	1691
860	10401	1679
861	10412	1666
862	10424	1654
863	10435	1642
864	10447	1630
865	10459	1618
866	10471	1606
867	10482	1594
868	10494	1582
869	10506	1569
870	10517	1557
871	10529	1545
872	10541	1533
873	10553	1521
874	10564	1509
875	10576	1497
876	10588	1485
877	10608	1474
878	10619	1461
879	10633	1449
880	10644	1437
881	10656	1425
882	10668	1413
883	10680	1401
884	10691	1389
885	10703	1377
886	10715	1365
887	10727	1352
888	10738	1340
889	10750	1328
890	10762	1316
891	10773	1304
892	10785	1292
893	10797	1280
894	10808	1268
895	10820	1255
896	10832	1243
897	10844	1231
898	10856	1219
899	10867	1207
900	10879	1195
901	10891	1183
902	10909	1171
903	10921	1159
904	10933	1147
905	10944	1135
906	10956	1123
907	10968	1111
908	10980	1099
909	10991	1087
910	11003	1074
911	11015	1062
912	11026	1050
913	11038	1038
914	11049	1026
915	11061	1014
916	11073	1002
917	11085	990
918	11096	978
919	11108	965
920	11120	953
921	11131	941
922	11143	929
923	11155	917
924	11166	905
925	11178	893
926	11190	881
927	11203	869
928	11214	857
929	11233	845
930	11246	833
931	11258	821
932	11270	809
933	11282	797
934	11293	785
935	11305	773
936	11317	760
937	11329	748
938	11341	736
939	11353	724
940	11364	712
941	11376	700
942	11387	688
943	11399	676
944	11410	664
945	11422	652
946	11434	639
947	11446	627
948	11458	615
949	11469	603
950	11481	591
951	11493	579
952	11504	567
953	11516	555
954	11528	543
955	11540	531
956	11552	519
957	11563	506
958	11575	494
959	11587	482
960	11598	470
961	11610	458
962	11622	446
963	11634	434
964	11645	422
965	11657	410
966	11669	398
967	11680	386
968	11692	374
969	11704	361
970	11715	349
971	11727	337
972	11739	325
973	11751	313
974	11762	301
975	11774	289
976	11786	277
977	11798	265
978	11809	253
979	11821	241
980	11833	229
981	11845	217
982	11857	205
983	11868	192
984	11879	180
985	11891	168
986	11903	156
987	11924	144
988	11936	132
989	11947	120
990	11959	108
991	11971	96
992	11983	84
993	11994	72
994	12006	60
995	12018	48
996	12029	36
997	12041	24
998	12053	12
999	12065	0
